модель;эпохи;скорость обучения;слоёв;нейронов в слое;точность;время(c)
gru;30;0.001;1;16;0.767;35
gru;30;0.004;1;16;0.826;35
gru;30;0.007;1;16;0.822;35
gru;30;0.010;1;16;0.816;35
gru;40;0.001;1;16;0.811;46
gru;40;0.004;1;16;0.810;46
gru;40;0.007;1;16;0.813;47
gru;40;0.010;1;16;0.822;46
gru;50;0.001;1;16;0.815;58
gru;50;0.004;1;16;0.814;58
gru;50;0.007;1;16;0.820;60
gru;50;0.010;1;16;0.804;62
embedding;10;0.001;1;25;0.751;11
embedding;10;0.004;1;25;0.846;8
embedding;10;0.007;1;25;0.852;8
embedding;10;0.010;1;25;0.836;8
embedding;20;0.001;1;25;0.848;17
embedding;20;0.004;1;25;0.839;16
embedding;20;0.007;1;25;0.835;16
embedding;20;0.010;1;25;0.836;16
embedding;30;0.001;1;25;0.859;25
embedding;30;0.004;1;25;0.848;24
embedding;30;0.007;1;25;0.839;25
embedding;30;0.010;1;25;0.827;25
embedding;40;0.001;1;25;0.858;34
embedding;40;0.004;1;25;0.846;34
embedding;40;0.007;1;25;0.842;34
embedding;40;0.010;1;25;0.826;34
embedding;50;0.001;1;25;0.857;43
embedding;50;0.004;1;25;0.827;42
embedding;50;0.007;1;25;0.837;42
embedding;50;0.010;1;25;0.830;42
embedding;20;0.000;1;16;0.430;163
embedding;20;0.000;1;16;0.784;161
embedding;50;0.000;1;16;0.692;407
embedding;50;0.000;1;16;0.851;400
embedding;50;0.001;1;16;0.845;397
embedding;100;0.000;1;32;0.816;802
embedding;15;0.001;1;128;0.851;123
embedding;15;0.004;1;128;0.841;118
embedding;15;0.007;1;128;0.852;118
embedding;15;0.010;1;128;0.838;119
embedding;13;0.001;1;256;0.863;34
